ibge_code;municipality;use_purpose;source_type;n_permits;n_abstraction;n_impoundment;n_quantified;total_flow;total_volume
3548708;SÃO BERNARDO DO CAMPO;Consumo Humano;surface;4;4;0;4;20,000000;135780,00
3548708;SÃO BERNARDO DO CAMPO;Indústria;groundwater;54;54;0;44;3536,630000;13948353,60
3548708;SÃO BERNARDO DO CAMPO;Indústria;surface;2;2;0;2;500,000000;1728000,00
3548708;SÃO BERNARDO DO CAMPO;Irrigação;surface;4;4;0;4;67,870000;79680,00
3548708;SÃO BERNARDO DO CAMPO;Outras;groundwater;72;72;0;49;553,600000;2736000,24
3548708;SÃO BERNARDO DO CAMPO;Outras;surface;14;7;7;7;60,200000;345060,00
3548708;SÃO BERNARDO DO CAMPO;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;73;0;73;0;0,000000;0,00
3548807;SÃO CAETANO DO SUL;Consumo Humano;groundwater;1;1;0;1;2,000000;14400,00
3548807;SÃO CAETANO DO SUL;Consumo Humano;surface;1;1;0;1;10,000000;3600,00
3548807;SÃO CAETANO DO SUL;Indústria;groundwater;7;7;0;7;36,720000;255225,60
